title,company,category,country,apply_link,description
STEP Internship,Google,STEP / Explore / Meta U,United States,https://careers.google.com/students/,12-week internship for 1st/2nd year undergrad students to build foundational engineering skills.
STEP Internship (EMEA),Google,STEP / Explore / Meta U,United Kingdom,https://careers.google.com/students/,Google STEP program for early undergrad students based in London/Zurich/Munich/Dublin.
Meta University,Meta,STEP / Explore / Meta U,United States,https://www.metacareers.com/students-and-grads/,10-week summer program introducing underrepresented students to software engineering.
Explore Program,Microsoft,STEP / Explore / Meta U,United States,https://careers.microsoft.com/students/,Early-in-college program giving first/second year students exposure to tech careers at Microsoft.
Software Engineering Internship,Microsoft,Internship,United States,https://careers.microsoft.com/students/,Paid internship for university students across engineering disciplines.
Amazon Student Programs Internship,Amazon,Internship,United States,https://www.amazon.jobs/en/teams/student-programs,Internship opportunities across tech and non-tech teams for university students.
Amazon Returnship Program,Amazon,Returnship,United States,https://www.amazon.jobs/en/landing_pages/returnship,Program for professionals returning to work after a career break.
Amazon Apprenticeship (Military),Amazon,Apprenticeship,United States,https://www.amazon.jobs/en/military,Apprenticeship pathway for military veterans transitioning into tech/operations roles.
Goldman Sachs Returnship,Goldman Sachs,Returnship,United States,https://www.goldmansachs.com/careers/students/programs/returnship/,10-week program for experienced professionals re-entering the workforce.
JPMorgan ReEntry Program,JPMorgan Chase,Returnship,United States,https://careers.jpmorgan.com/us/en/students/programs,Program for professionals returning to the workforce after an extended career break.
HSBC Management Trainee Programme,HSBC,Management Trainee Officer (MTO),United Kingdom,https://www.hsbc.com/careers/students-and-graduates,Rotational leadership programme across HSBC global businesses for graduates.
Standard Chartered International Graduate Programme,Standard Chartered,Management Trainee Officer (MTO),Singapore,https://www.sc.com/en/careers/graduates-and-students/,Graduate leadership programme with rotations across business functions.
Citi Management Associate Program,Citi,Management Trainee Officer (MTO),United States,https://jobs.citi.com/students-and-graduates,Rotational program developing future leaders across Citi's global businesses.
Engro Management Trainee Officer Program,Engro Corporation,Management Trainee Officer (MTO),Pakistan,https://www.engro.com/careers/,Flagship MTO leadership development program for fresh graduates in Pakistan.
Unilever Future Leaders Programme,Unilever,Graduate Trainee,United Kingdom,https://careers.unilever.com/unilever-future-leaders-programme,3-year rotational graduate leadership programme across Unilever functions.
Unilever Future Leaders Programme Pakistan,Unilever,Graduate Trainee,Pakistan,https://careers.unilever.com/,Rotational graduate programme for early career talent in Pakistan.
PepsiCo Graduate/Rotational Program,PepsiCo,Rotational (RPM/MTO),United States,https://www.pepsicojobs.com/main/students,Rotational leadership development program across PepsiCo functions.
Nestle Graduate/Management Trainee Programme,Nestle,Graduate Trainee,Switzerland,https://www.nestle.com/jobs/graduates,Global graduate trainee programme rotating across Nestle business units.
Shell Graduate Programme,Shell,Graduate Trainee,Netherlands,https://www.shell.com/careers/students-and-graduates.html,Graduate development programme with rotations across Shell's global operations.
GE Edison Engineering Development Program,GE,Rotational (RPM/MTO),United States,https://www.ge.com/careers/students-and-graduates,Rotational engineering leadership development program at GE.
Siemens Graduate Program,Siemens,Graduate Trainee,Germany,https://jobs.siemens.com/careers/students,Rotational graduate programme across Siemens engineering and business functions.
McKinsey Fellowship,McKinsey & Company,Fellowship,United States,https://www.mckinsey.com/careers/students,Fellowship opportunities for advanced-degree students to work on client projects.
Atlas Corps Fellowship,Atlas Corps,Fellowship,United States,https://atlascorps.org/apply/,Global fellowship placing leaders in host organizations for professional development.
Mandela Washington Fellowship,U.S. Department of State,Fellowship,United States,https://mandelawashingtonfellowship.state.gov/,Fellowship for young African leaders for leadership training in the US.
Teach For All Fellowship,Teach For All,Fellowship,Global,https://teachforall.org/get-involved,Fellowship placing graduates as teachers in under-resourced schools worldwide.
LinkedIn REACH Apprenticeship,LinkedIn,Leap / REACH / ATA,United States,https://careers.linkedin.com/reach,Apprenticeship program for non-traditional candidates transitioning into tech roles.
Google Leap Apprenticeship,Google,Leap / REACH / ATA,United States,https://buildyourfuture.withgoogle.com/programs/leap-apprenticeship,Apprenticeship helping non-traditional candidates build tech careers at Google.
UN Volunteers Programme,United Nations Volunteers,Volunteer Program,Global,https://www.unv.org/become-volunteer,Global volunteer assignments supporting UN peace and development programs.
Peace Corps Volunteer Program,Peace Corps,Volunteer Program,United States,https://www.peacecorps.gov/volunteer/,US government volunteer program placing volunteers in communities worldwide.
International Red Cross Volunteer Program,International Committee of the Red Cross,Volunteer Program,Switzerland,https://careers.icrc.org/,Volunteer and field opportunities supporting humanitarian relief operations.
AIESEC Global Volunteer,AIESEC,Volunteer Program,Global,https://aiesec.org/global-volunteer,Short-term international volunteering projects for youth around the world.
World Bank Young Professionals Program,World Bank Group,Fellowship,United States,https://www.worldbank.org/en/about/careers/programs-and-internships/young-professionals-program,Leadership program preparing outstanding young professionals for careers in development.
IBM Tech Re-Entry Program,IBM,Returnship,United States,https://www.ibm.com/careers/us-en/students/,Returnship program for professionals re-entering the tech workforce.
IBM Apprenticeship Program,IBM,Apprenticeship,United States,https://www.ibm.com/careers/apprenticeships,Structured apprenticeship pathways into technical roles at IBM.
Accenture Apprenticeship Program,Accenture,Apprenticeship,United States,https://www.accenture.com/us-en/careers/local/apprenticeships,Apprenticeship program combining paid work experience with training.
Deloitte Graduate Programme,Deloitte,Graduate Trainee,United Kingdom,https://www2.deloitte.com/uk/en/careers/students.html,Graduate development programme across Deloitte's audit, tax, and consulting practices.
EY Graduate Programme,EY,Graduate Trainee,United Kingdom,https://www.ey.com/en_gl/careers/students,Structured graduate training programme across EY service lines.
PwC Internship Program,PwC,Internship,United States,https://www.pwc.com/us/en/careers/campus.html,Summer internship program across PwC's audit, tax, and advisory lines.
KPMG Graduate Trainee Programme,KPMG,Graduate Trainee,United Kingdom,https://www.kpmgcareers.co.uk/students/,Graduate trainee programme with rotations across KPMG's business areas.
Mastercard Launch Graduate Program,Mastercard,Graduate Trainee,United States,https://careers.mastercard.com/us/en/students-and-graduates,Two-year rotational graduate programme across Mastercard's global functions.
Visa Graduate Rotational Program,Visa,Rotational (RPM/MTO),United States,https://careers.visa.com/students,Rotational programme developing future leaders across Visa's global business.
American Express Rotational Program,American Express,Rotational (RPM/MTO),United States,https://www.americanexpress.com/en-us/careers/students-and-graduates/,Rotational leadership development programme across Amex business units.
ExxonMobil Graduate Program,ExxonMobil,Graduate Trainee,United States,https://corporate.exxonmobil.com/careers/students-and-graduates,Graduate programme placing engineers and professionals into rotational assignments.
Toyota Graduate Programme,Toyota,Graduate Trainee,Japan,https://global.toyota/en/company/careers/,Global graduate development programme across Toyota's manufacturing and business functions.
Coca-Cola Graduate Trainee Program,The Coca-Cola Company,Graduate Trainee,United States,https://www.coca-colacompany.com/careers/students,Rotational graduate trainee programme across Coca-Cola's global functions.
Jazz Management Trainee Program,Jazz (VEON),Management Trainee Officer (MTO),Pakistan,https://www.jazz.com.pk/careers,Leadership development programme for fresh graduates at Pakistan's leading telecom.
HBL Management Trainee Officer Program,HBL Bank,Management Trainee Officer (MTO),Pakistan,https://www.hbl.com/careers,Bank's flagship MTO programme for developing future banking leaders.
Systems Limited Graduate Program,Systems Limited,Graduate Trainee,Pakistan,https://www.systemsltd.com/careers,Graduate training programme for fresh IT graduates in Pakistan.
Salesforce Talent Alliance Apprenticeship,Salesforce,Leap / REACH / ATA,United States,https://www.salesforce.com/company/careers/university-recruiting/,Apprenticeship pathway (ATA) for non-traditional talent to launch Salesforce careers.
